gender,senior_citizen,dependents,phone_service,multiple_lines,online_security,online_backup,device_protection,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,total_charges,churn_value,cltv,under_30,married,number_of_dependents,satisfaction_score,referred_a_friend,number_of_referrals,tenure_in_months,avg_monthly_long_distance_charges,internet_type,avg_monthly_gb_download,premium_tech_support,streaming_music,unlimited_data,monthly_charge,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue
Male,No,No,Yes,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,108.15,1,3239,No,No,0,1,No,0,2,10.47,DSL,21,No,No,Yes,53.85,0.0,0,20.94,129.09
Female,No,Yes,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,151.65,1,2701,Yes,No,2,2,No,0,2,9.12,Fiber Optic,51,No,No,Yes,70.7,0.0,0,18.24,169.89000000000001
Female,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,820.5,1,5372,No,No,2,3,No,0,8,12.15,Cable,26,No,Yes,Yes,99.65,0.0,0,97.2,917.7
Female,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,3046.05,1,5003,Yes,Yes,3,3,No,0,28,4.89,Fiber Optic,47,Yes,Yes,Yes,104.8,0.0,0,136.92,3182.9700000000003
Male,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),5036.3,1,5340,No,No,1,1,No,0,49,44.33,Fiber Optic,11,No,Yes,Yes,103.7,0.0,0,2172.17,7208.47
Female,No,No,Yes,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),528.35,1,5925,Yes,Yes,0,1,Yes,6,10,9.41,Cable,69,Yes,No,Yes,55.2,0.0,0,94.1,622.45
Male,Yes,No,No,No phone service,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,39.65,1,5433,No,No,0,3,No,0,1,0.0,DSL,8,No,No,No,39.65,0.0,20,0.0,59.65
Male,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,4749.15,1,5789,No,Yes,1,1,Yes,1,47,31.35,Fiber Optic,16,No,Yes,Yes,99.35,0.0,0,1473.45,6222.599999999999
Male,No,No,No,No phone service,No,Yes,No,No,No,Month-to-month,No,Electronic check,30.2,1,2915,Yes,Yes,0,1,Yes,1,1,0.0,DSL,58,No,No,Yes,30.2,0.0,0,0.0,30.2
Female,No,No,Yes,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,1093.1,1,3022,Yes,No,0,1,No,0,17,40.55,Cable,41,No,Yes,Yes,64.7,0.0,0,689.3499999999999,1782.4499999999998
Male,No,Yes,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,316.9,1,2454,No,No,3,1,No,0,5,12.6,Fiber Optic,58,No,No,Yes,69.7,0.0,0,63.0,379.9
Male,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,3549.25,1,2941,No,No,1,2,No,0,34,21.69,Fiber Optic,28,No,Yes,Yes,106.35,0.0,0,737.46,4286.71
Female,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1105.4,1,5674,No,No,2,3,No,0,11,27.57,Cable,18,No,Yes,Yes,97.85,0.0,0,303.27,1408.67
Female,No,Yes,Yes,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,144.15,1,5586,No,No,2,1,No,0,2,5.85,Fiber Optic,19,No,No,No,80.65,0.0,20,11.7,175.85
Female,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1426.4,1,2966,No,No,1,1,No,0,15,3.96,Fiber Optic,20,No,Yes,Yes,99.1,0.0,0,59.4,1485.8000000000002
Female,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),633.3,1,5302,No,Yes,1,3,Yes,1,8,48.85,Fiber Optic,17,No,No,Yes,80.65,0.0,0,390.8,1024.1
Male,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1752.55,1,3179,No,No,3,2,No,0,18,11.33,Fiber Optic,52,No,Yes,Yes,95.45,45.61,0,203.94,1910.88
Female,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,857.25,1,5571,No,No,2,3,No,0,9,27.21,Fiber Optic,29,No,Yes,Yes,94.4,0.0,0,244.89000000000001,1102.14
Female,No,Yes,Yes,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,1,2483,No,No,3,1,No,0,1,13.13,Fiber Optic,57,No,No,Yes,79.35,0.0,0,13.13,92.47999999999999
Female,No,Yes,Yes,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),496.9,1,3457,No,Yes,5,1,Yes,1,7,8.69,Fiber Optic,53,No,No,Yes,75.15,0.0,0,60.83,557.73
Female,No,Yes,Yes,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,927.35,1,5806,No,No,3,1,No,0,12,25.34,Fiber Optic,56,No,No,No,78.95,0.0,80,304.08,1311.43
Female,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,2514.5,1,5337,No,Yes,1,2,Yes,1,25,19.76,Fiber Optic,12,No,No,Yes,98.5,13.43,0,494.00000000000006,2995.07
Male,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),7611.85,1,5034,Yes,Yes,0,2,Yes,4,68,14.79,Fiber Optic,47,Yes,Yes,Yes,110.0,0.0,0,1005.7199999999999,8617.57
Male,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,5238.9,1,5154,No,Yes,1,1,No,0,55,49.06,Fiber Optic,27,No,No,Yes,96.75,0.0,0,2698.3,7937.2
Female,Yes,Yes,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,2868.15,1,2793,No,Yes,1,2,Yes,1,37,6.33,Fiber Optic,14,No,No,Yes,76.5,0.0,0,234.21,3102.36
Female,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1064.65,1,5998,No,Yes,2,2,Yes,1,10,24.48,Fiber Optic,30,No,Yes,Yes,100.25,0.0,0,244.8,1309.45
Male,No,Yes,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,229.55,1,4415,Yes,No,2,1,No,0,3,14.6,Fiber Optic,71,No,Yes,Yes,74.4,8.74,0,43.8,264.61
Female,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,2135.5,1,4638,No,No,1,1,No,0,27,3.33,Fiber Optic,18,No,No,No,78.05,0.0,10,89.91,2235.41
Female,No,No,No,No phone service,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1502.65,1,4190,Yes,Yes,0,1,Yes,6,25,0.0,DSL,48,No,Yes,Yes,58.6,4.48,0,0.0,1498.17
Male,No,No,No,No phone service,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,1,2301,No,No,0,3,No,0,1,0.0,DSL,22,No,Yes,Yes,35.45,0.0,0,0.0,35.45
