customerid,count,country,state,city,zip_code,lat_long,latitude,longitude,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_label,churn_value,churn_score,cltv,churn_reason,age,under_30,married,number_of_dependents,satisfaction_score,customer_status,quarter,referred_a_friend,number_of_referrals,tenure_in_months,avg_monthly_long_distance_charges,internet_type,avg_monthly_gb_download,device_protection_plan,premium_tech_support,streaming_music,unlimited_data,monthly_charge,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue
3668-QPYBK,1,United States,California,Los Angeles,90003,"33.964131, -118.272783",33.964131,-118.272783,Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,86,3239,Competitor made better offer,37,No,No,0,1,Churned,Q3,No,0,2,10.47,DSL,21,No,No,No,Yes,53.85,0.0,0,20.94,129.09
9237-HQITU,1,United States,California,Los Angeles,90005,"34.059281, -118.30742",34.059281,-118.30742,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,67,2701,Moved,19,Yes,No,2,2,Churned,Q3,No,0,2,9.12,Fiber Optic,51,No,No,No,Yes,70.7,0.0,0,18.24,169.89000000000001
9305-CDSKC,1,United States,California,Los Angeles,90006,"34.048013, -118.293953",34.048013,-118.293953,Female,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,86,5372,Moved,31,No,No,2,3,Churned,Q3,No,0,8,12.15,Cable,26,Yes,No,Yes,Yes,99.65,0.0,0,97.2,917.7
7892-POOKP,1,United States,California,Los Angeles,90010,"34.062125, -118.315709",34.062125,-118.315709,Female,No,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,84,5003,Moved,23,Yes,Yes,3,3,Churned,Q3,No,0,28,4.89,Fiber Optic,47,Yes,Yes,Yes,Yes,104.8,0.0,0,136.92,3182.9700000000003
0280-XJGEX,1,United States,California,Los Angeles,90015,"34.039224, -118.266293",34.039224,-118.266293,Male,No,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,89,5340,Competitor had better devices,38,No,No,1,1,Churned,Q3,No,0,49,44.33,Fiber Optic,11,Yes,No,Yes,Yes,103.7,0.0,0,2172.17,7208.47
4190-MFLUW,1,United States,California,Los Angeles,90020,"34.066367, -118.309868",34.066367,-118.309868,Female,No,Yes,No,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,78,5925,Competitor offered higher download speeds,21,Yes,Yes,0,1,Churned,Q3,Yes,6,10,9.41,Cable,69,Yes,Yes,No,Yes,55.2,0.0,0,94.1,622.45
8779-QRDMV,1,United States,California,Los Angeles,90022,"34.02381, -118.156582",34.02381,-118.156582,Male,Yes,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,100,5433,Competitor offered more data,78,No,No,0,3,Churned,Q3,No,0,1,0.0,DSL,8,Yes,No,No,No,39.65,0.0,20,0.0,59.65
6467-CHFZW,1,United States,California,Los Angeles,90028,"34.099869, -118.326843",34.099869,-118.326843,Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,77,5789,Competitor had better devices,61,No,Yes,1,1,Churned,Q3,Yes,1,47,31.35,Fiber Optic,16,No,No,Yes,Yes,99.35,0.0,0,1473.45,6222.599999999999
8665-UTDHZ,1,United States,California,Los Angeles,90029,"34.089953, -118.294824",34.089953,-118.294824,Male,No,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,97,2915,Competitor had better devices,27,Yes,Yes,0,1,Churned,Q3,Yes,1,1,0.0,DSL,58,No,No,No,Yes,30.2,0.0,0,0.0,30.2
8773-HHUOZ,1,United States,California,Los Angeles,90032,"34.078821, -118.177576",34.078821,-118.177576,Female,No,No,No,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,74,3022,Competitor offered higher download speeds,20,Yes,No,0,1,Churned,Q3,No,0,17,40.55,Cable,41,No,No,Yes,Yes,64.7,0.0,0,689.3499999999999,1782.4499999999998
